# dex,pokemon,pokeapi name,complexity,realism,artificiality,fantasy,humanoid,cuteness,coolness,beauty,popularity,rating count
150,standard Mewtwo,mewtwo,3.0545,2.9091,3.3636,4.1636,4.3273,2.0909,4.3455,2.8182,4.0000,55
151,Mew,mew,1.4000,1.7636,1.8000,3.6727,2.4182,4.5455,3.6000,3.9455,4.2364,55
152,Chikorita,chikorita,1.4545,1.7636,1.3636,3.2000,1.2000,4.3636,2.8000,3.6909,3.8182,55
153,Bayleef,bayleef,2.2000,2.2182,1.3091,3.6000,1.2182,4.1818,3.4909,3.8545,4.0182,55
154,Meganium,meganium,2.2222,2.2963,1.4074,3.3889,1.2778,4.1667,3.1111,4.1296,3.7037,54
155,Cyndaquil,cyndaquil,1.7636,2.2727,1.5636,3.2364,1.2545,4.7273,3.9091,3.4727,4.4000,55
156,Quilava,quilava,2.0545,2.6545,1.5273,3.4364,1.7091,3.9273,4.1455,3.5636,4.2364,55
157,Hisuian Typhlosion,typhlosion-hisui,2.9273,2.5091,2.0364,4.1273,3.0364,3.2727,4.2364,3.7818,4.1273,55
157,standard Typhlosion,typhlosion,2.0182,3.2000,1.4727,3.0909,2.3636,2.9091,4.4182,3.3273,4.1091,55
158,Totodile,totodile,2.1818,1.8727,1.2909,2.3636,2.2727,4.4909,4.0727,3.3636,4.2545,55
159,Croconaw,croconaw,2.4909,1.9636,1.6909,2.8727,2.5818,2.7273,3.5273,2.4000,3.5455,55
160,Feraligatr,feraligatr,3.1455,2.6182,1.5818,3.0364,3.2727,1.9455,4.1455,2.4364,3.7636,55
161,Sentret,sentret,1.5455,1.9455,1.4000,1.9636,1.7273,4.3818,2.7636,3.4909,4.0000,55
162,Furret,furret,1.7963,2.2593,1.3148,1.7037,1.4815,4.6667,3.0185,4.0741,4.2963,54
163,Hoothoot,hoothoot,1.7636,2.0364,1.6182,2.0545,1.2727,3.8909,2.9273,3.0545,3.6364,55
164,Noctowl,noctowl,2.0727,3.7455,1.1636,1.4727,1.2545,2.5273,3.4364,3.1091,3.7091,55
165,Ledyba,ledyba,1.8000,1.8364,1.3636,1.6545,1.4545,3.7636,2.0182,3.0727,3.0909,55
166,Ledian,ledian,2.0364,2.0000,1.8364,2.7636,3.1818,3.7818,3.4909,3.4545,3.5818,55
167,Spinarak,spinarak,1.9636,2.4727,1.4000,1.7818,1.1455,3.8545,2.7273,2.6727,3.4909,55
168,Ariados,ariados,2.8545,3.2909,1.5091,2.4364,1.0909,2.1091,3.5455,2.6909,3.5273,55
169,Crobat,crobat,2.0727,2.2545,1.4909,3.0182,1.1818,2.4909,4.3455,2.8182,4.2182,55
170,Chinchou,chinchou,1.7455,1.6909,1.4727,2.7091,1.2182,4.1636,2.9091,3.3636,3.7636,55
171,Lanturn,lanturn,1.6727,1.8545,1.5091,2.4545,1.1455,4.0727,3.0727,3.6000,3.6182,55
172,Pichu,pichu,1.7455,1.4000,1.5636,2.8727,2.4182,4.5273,2.9273,3.8364,3.7818,55
173,Cleffa,cleffa,1.2182,1.4182,2.0364,3.4727,2.3636,4.2909,1.9091,3.6000,3.2909,55
174,Igglybuff,igglybuff,1.1818,1.3455,2.4909,3.4000,2.0182,4.2364,1.8182,3.2545,3.0909,55
175,Togepi,togepi,1.7636,1.5636,1.9091,3.7455,2.4364,4.4545,2.6909,3.6000,3.8545,55
176,Togetic,togetic,2.0000,1.4364,1.9455,3.9636,2.2545,4.0909,2.6727,3.5273,3.4545,55
177,Natu,natu,1.7273,1.7636,1.8545,3.0364,1.2727,3.9091,2.9091,3.3273,3.7091,55
178,Xatu,xatu,3.1818,2.2000,2.2545,3.7818,2.4545,2.6364,3.6000,3.1636,3.6000,55
179,Mareep,mareep,1.7818,2.4000,1.8182,2.7273,1.1091,4.6182,3.2727,4.0727,4.3091,55
180,Flaaffy,flaaffy,2.3455,1.9455,1.7455,3.1636,2.4727,4.4000,3.2182,3.8364,4.0545,55
181,Mega Ampharos,ampharos-mega,3.2545,1.8545,2.3818,4.2727,2.9455,3.7818,3.8182,4.0727,3.8909,55
181,standard Ampharos,ampharos,2.0727,1.8727,1.9636,3.4364,2.7091,3.9455,3.6182,3.5455,3.9818,55
182,Bellossom,bellossom,2.1091,1.7091,1.7455,3.4909,3.9273,4.2727,2.4364,4.2545,3.3455,55
183,Marill,marill,1.3273,1.4545,1.6364,2.8727,1.6000,4.6182,2.6909,3.7455,3.7818,55
184,Azumarill,azumarill,1.5636,1.4000,1.7818,3.1091,2.0364,4.2545,2.6545,3.4364,3.6545,55
185,Sudowoodo,sudowoodo,1.7818,1.6182,2.2727,3.2000,3.4182,3.4364,2.8727,2.7818,3.5273,55
186,Politoed,politoed,2.0182,1.7636,1.4909,2.5091,2.4182,4.0545,2.7273,3.2364,3.6182,55
187,Hoppip,hoppip,1.3636,1.4909,1.4182,3.1273,1.2364,4.4182,1.9455,3.3818,3.6182,55
188,Skiploom,skiploom,1.5091,1.6182,1.5636,3.4545,1.2909,4.1455,2.1091,3.3091,3.3818,55
189,Jumpluff,jumpluff,1.7455,1.6727,1.8545,3.3636,1.4545,4.1091,2.5273,3.5636,3.4364,55
190,Aipom,aipom,1.6000,1.7273,1.5091,2.6000,3.2545,3.2545,2.4727,2.4727,3.0909,55
191,Sunkern,sunkern,1.4364,1.6909,1.4545,2.4909,1.2364,4.1273,1.6545,3.1818,3.0182,55
192,Sunflora,sunflora,1.5455,1.6364,1.2909,2.4909,3.1636,3.3455,1.9636,3.0000,2.8000,55
193,Yanma,yanma,2.5455,2.7273,1.4182,1.8727,1.1818,3.7455,3.2000,3.0000,3.6909,55
194,Wooper Paldean,wooper-paldea,1.6182,1.5636,1.6727,2.6727,1.9273,4.5636,3.3273,3.3818,4.3091,55
194,standard Wooper,wooper,1.2909,1.6545,1.4364,2.2727,1.8000,4.7091,3.1273,3.5455,4.5455,55
195,Quagsire,quagsire,1.4259,1.9259,1.3704,2.5370,2.0185,4.4074,3.2222,3.1296,4.1667,54
196,Espeon,espeon,1.8000,3.2364,1.6182,3.7091,1.2000,4.0000,4.0545,4.6545,4.2000,55
197,Umbreon,umbreon,2.0545,2.8909,1.5455,3.1091,1.1455,4.2364,4.6364,4.4000,4.5091,55
198,Murkrow,murkrow,2.0364,2.5455,1.4364,2.4000,1.4000,3.4727,3.7636,3.1273,3.9091,55
199,Galarian Slowking,slowking-galar,3.7273,1.6545,2.4909,4.4182,3.4909,2.0545,3.4182,2.0000,3.4364,55
199,standard Slowking,slowking,2.7636,1.8545,2.3818,4.0000,3.5091,3.1818,3.1455,2.7818,3.7818,55
200,Misdreavus,misdreavus,2.1852,1.7222,2.9630,4.4444,2.2963,4.3333,3.4630,4.0370,3.9444,54
201,Unown,unown-f,1.3636,1.5273,4.1636,4.3455,1.1636,2.9818,2.5636,2.8182,3.2545,55
202,Wobbuffet,wobbuffet,1.5273,1.2727,3.1455,3.8909,2.7818,3.2545,2.5818,2.4909,3.6364,55
203,Girafarig,girafarig,2.4909,2.4545,1.4909,3.4364,1.2000,3.6545,3.1818,3.2909,3.6364,55
204,Pineco,pineco,1.9630,2.3889,1.8889,2.1852,1.1481,2.5741,2.3148,2.3704,3.1667,54
205,Forretress,forretress,2.7818,2.4182,3.4000,3.4182,1.1091,1.9455,2.9636,2.1636,3.3273,55
206,Dunsparce,dunsparce,1.8727,1.6909,1.8182,3.3091,1.1636,3.3636,2.2727,2.5455,3.5091,55
207,Gligar,gligar,2.3455,1.5273,1.6364,3.1818,2.3818,3.8727,3.8364,2.7091,3.9091,55
208,Mega Steelix,steelix-mega,4.5273,2.7636,3.8727,4.5818,1.1273,1.4727,4.2909,2.6909,3.8727,55
208,standard Steelix,steelix,3.1636,2.8000,3.6727,3.8364,1.2000,1.3818,4.3636,2.4364,3.9455,55
209,Snubbull,snubbull,2.2222,1.6852,1.8889,2.6296,2.6296,2.5926,2.0556,1.8148,2.8704,54
210,Granbull,granbull,1.9273,1.8909,1.5455,2.7455,2.9273,2.2182,2.9455,1.8727,3.0727,55
211,Hisuian Qwilfish,qwilfish-hisui,2.0182,2.1091,1.7273,2.2727,1.1455,2.5818,3.2364,2.2909,3.5273,55
211,standard Qwilfish,qwilfish,1.7455,2.3818,1.6000,2.0364,1.2364,2.1091,2.5091,1.8909,3.0182,55
212,Mega Scizor,scizor-mega,4.2182,2.4909,4.1091,4.0909,3.8364,1.8364,4.2909,2.9455,3.6545,55
212,standard Scizor,scizor,3.4364,2.5818,3.3818,3.9636,3.9091,1.9273,4.6182,3.5455,4.1455,55
213,Shuckle,shuckle,1.9636,1.6000,1.9636,2.8364,1.1455,3.6909,2.3818,2.5455,3.6545,55
214,Mega Heracross,heracross-mega,4.1818,2.4545,2.1636,3.4909,3.0182,2.1818,3.4364,2.3273,2.9636,55
214,standard Heracross,heracross,2.6000,3.2909,1.3818,2.1818,2.7636,3.6545,4.2727,3.0364,4.0909,55
215,Hisuian Sneasel,sneasel-hisui,2.9636,2.0000,1.7636,3.2909,3.4909,3.6909,4.0545,3.5091,3.9273,55
215,standard Sneasel,sneasel,2.3333,2.2778,1.9074,3.5556,3.3889,3.6481,4.1296,3.5926,4.0370,54
216,Teddiursa,teddiursa,1.4545,2.1455,1.2182,1.8000,2.1455,4.5636,2.7636,3.6727,3.8545,55
217,Ursaring,ursaring,1.8909,3.4909,1.2545,1.4545,2.6364,2.4727,3.6909,2.8545,3.5818,55
218,Slugma,slugma,1.5741,1.7593,2.4444,3.8704,1.1296,3.0741,2.8333,2.3704,3.4444,54
219,Magcargo,magcargo,2.6182,2.2909,2.5273,3.8909,1.2909,3.1455,3.4000,2.4000,3.6727,55
220,Swinub,swinub,1.1852,1.7778,1.3704,1.8704,1.1111,4.0370,2.4815,2.8519,3.6111,54
221,Piloswine,piloswine,1.5455,2.3818,1.2545,1.7818,1.1636,3.1273,2.5636,2.3091,3.5636,55
222,Galarian Corsola,corsola-galar,2.4364,2.2545,1.9818,3.6545,1.1455,3.7455,3.5091,3.1636,4.0182,55
222,standard Corsola,corsola,1.9091,2.2000,1.7455,2.6545,1.2000,4.4364,2.8000,3.9455,3.9273,55
223,Remoraid,remoraid,1.7636,3.0182,1.6364,1.6182,1.1273,3.0545,2.4364,2.6909,3.1636,55
224,Octillery,octillery,2.0364,2.1273,1.5636,1.9455,1.1273,2.4545,2.9455,2.3455,3.4182,55
225,Delibird,delibird,2.0727,1.6364,2.0364,3.3273,2.9091,3.5636,2.4182,2.8727,3.1636,55
226,Mantine,mantine,2.2000,2.7818,1.3455,1.7636,1.1818,3.9091,3.2545,3.4182,3.7818,55
227,Skarmory,skarmory,3.3091,2.7636,3.6182,4.0364,1.2364,2.2545,4.2364,2.9818,3.8545,55
228,Houndour,houndour,2.1296,2.9074,1.7222,2.9630,1.0926,3.3704,3.9074,2.8889,3.6667,54
229,Mega Houndoom,houndoom-mega,4.1636,2.9455,2.1091,4.1091,1.1455,2.0182,4.5273,3.4182,3.9636,55
229,standard Houndoom,houndoom,2.8545,2.8727,1.7636,3.5636,1.1091,2.5455,4.3818,3.2182,3.9091,55
230,Kingdra,kingdra,2.8727,3.5818,1.5455,2.9636,1.1818,2.4545,3.9818,3.4364,3.8364,55
231,Phanpy,phanpy,1.4000,1.8909,1.3636,1.8000,1.1636,4.6000,2.7818,3.5818,3.9455,55
232,Donphan,donphan,2.9273,2.9818,1.9818,2.5273,1.2727,2.3091,4.0000,2.7273,3.8909,55
233,Porygon2,porygon2,1.5185,1.4630,4.5741,3.8148,1.1481,3.9074,3.5370,3.3148,3.9259,54
234,Stantler,stantler,1.8889,3.2778,1.2963,1.8333,1.1481,2.1296,2.3333,2.1852,2.8889,54
235,Smeargle,smeargle,2.1091,1.5636,2.0545,2.9636,3.4545,3.4364,2.7636,2.7455,3.4727,55
236,Tyrogue,tyrogue,2.4545,2.1273,1.9636,2.6182,4.7273,2.6364,2.7273,2.0909,2.6364,55
237,Hitmontop,hitmontop,2.6364,1.9455,2.2000,3.3273,4.3091,2.7273,3.2000,2.5091,3.2182,55
238,Smoochum,smoochum,1.5091,1.3455,2.0182,3.2182,4.3455,3.0727,1.6909,1.9818,2.2545,55
239,Elekid,elekid,2.1455,1.5818,3.5091,3.9636,3.4727,3.5455,3.7455,2.6000,3.7273,55
240,Magby,magby,1.8333,1.5556,1.9815,3.5370,3.0926,3.4630,2.4815,2.2778,3.1296,54
241,Miltank,miltank,2.3455,2.0727,1.3091,1.8000,2.0182,3.4727,2.6000,2.9636,3.1091,55
242,Blissey,blissey,1.9636,1.3273,2.0909,3.7091,2.8364,4.0909,2.2545,3.9636,3.6545,55
243,Raikou,raikou,3.9636,2.9273,1.9818,4.5818,1.1818,2.5818,4.4909,3.5091,4.1273,55
244,Entei,entei,3.8182,3.0909,1.9091,4.3818,1.2727,2.3091,4.5273,3.6545,4.0364,55
245,Suicune,suicune,3.6727,3.1455,1.9455,4.4727,1.2000,3.1636,4.4909,4.4545,4.3273,55
246,Larvitar,larvitar,2.3091,2.3636,2.2364,3.4364,2.1091,3.6727,3.7818,3.0000,3.8727,55
247,Pupitar,pupitar,2.0545,2.5273,2.5455,3.1091,1.1273,2.0000,3.0182,2.3273,3.2000,55
248,Mega Tyranitar,tyranitar-mega,4.4364,2.5818,2.7273,4.3818,2.5091,1.6364,4.1636,2.6000,3.5091,55
248,standard Tyranitar,tyranitar,3.5091,2.7818,2.5091,4.1818,2.3273,1.7091,4.5818,2.6909,4.2364,55
249,Lugia,lugia,2.7455,2.5455,1.9273,4.2909,1.7818,2.8727,4.4727,3.8909,4.2909,55
250,Ho-Oh,ho-oh,3.6000,3.2182,1.5273,4.0909,1.2182,2.6909,4.4727,4.4000,4.3273,55
251,Celebi,celebi,2.2364,1.8364,1.6545,4.5818,3.3273,4.4909,3.3818,4.2182,4.2000,55
252,Treecko,treecko,1.9636,2.1273,1.4182,2.5636,3.1091,3.8364,3.8545,3.1636,4.0182,55
253,Grovyle,grovyle,2.9091,3.0000,1.5455,3.1636,2.9273,2.9455,4.4000,3.4182,4.3818,55
254,Mega Sceptile,sceptile-mega,4.2000,2.9273,2.0000,4.2909,2.9273,2.0182,4.5273,3.2727,4.1273,55
254,standard Sceptile,sceptile,3.5455,2.9273,1.3455,3.6364,3.2182,2.5273,4.4545,3.3636,4.1636,55
255,Torchic,torchic,1.5273,2.4182,1.3636,2.0909,1.4000,4.5455,3.2545,3.6182,4.0545,55
256,Combusken,combusken,2.6182,2.2545,1.4000,3.0545,3.6545,2.4545,3.2545,2.4909,3.2364,55
257,Mega Blaziken,blaziken-mega,4.0364,2.7273,2.2727,4.2182,4.6545,2.0364,4.3636,3.1455,3.9818,55
257,standard Blaziken,blaziken,3.4364,2.6182,1.8364,3.8727,4.6182,2.1455,4.2545,3.0727,3.8000,55
258,Mudkip,mudkip,1.8545,2.0364,1.4000,2.5818,1.2182,4.7273,3.4000,3.6182,4.3818,55
259,Marshtomp,marshtomp,2.4182,1.7818,1.5091,2.9636,3.0182,3.6000,3.2182,2.6545,3.6182,55
260,Mega Swampert,swampert-mega,3.8182,2.0545,2.0727,3.6364,3.1636,2.1818,4.2000,2.6000,3.7818,55
260,standard Swampert,swampert,3.3636,2.8909,1.5455,3.3273,2.0545,2.7455,3.9636,2.7273,4.0545,55
261,Poochyena,poochyena,1.7778,3.2222,1.1296,1.4444,1.1667,3.5185,3.4630,2.7963,3.6852,54
262,Mightyena,mightyena,2.4727,3.9818,1.3455,1.7273,1.2182,2.5636,4.1273,3.1455,3.8909,55
263,Galarian Zigzagoon,zigzagoon-galar,2.4630,2.0556,1.6111,2.8148,1.1481,4.3704,4.0741,3.1296,4.2222,54
263,standard Zigzagoon,zigzagoon,1.9636,2.8727,1.3091,1.5273,1.1636,4.2909,3.0727,3.2909,4.0000,55
264,Galarian Linoone,linoone-galar,2.8182,2.0000,1.6909,2.8909,1.3818,2.6364,3.9273,2.7091,3.4909,55
264,standard Linoone,linoone,1.6727,3.3091,1.1636,1.4545,1.1818,3.0182,3.2909,2.9818,3.3636,55
265,Wurmple,wurmple,1.9630,2.7222,1.2963,1.7037,1.1667,3.9815,2.3889,2.8704,3.6296,54
266,Silcoon,silcoon,1.4727,2.8909,1.4000,1.7636,1.1818,2.6545,2.1818,2.4000,2.7455,55
267,Beautifly,beautifly,2.6667,2.7037,1.3148,1.7222,1.6481,4.0556,2.6481,3.9815,3.5370,54
268,Cascoon,cascoon,1.2727,2.4000,1.3273,1.6727,1.1091,2.1091,2.3273,2.3818,2.9273,55
269,Dustox,dustox,2.7636,2.4727,1.5636,2.4000,1.1636,2.5455,2.8364,2.5091,3.2909,55
270,Lotad,lotad,1.5818,1.8364,1.4727,2.9818,1.1818,4.0727,2.8000,2.9455,3.7818,55
271,Lombre,lombre,2.5636,1.7455,1.8182,3.7455,3.6909,2.6000,2.8545,2.2364,3.3091,55
272,Ludicolo,ludicolo,3.1455,1.6909,1.8727,3.8545,3.5636,3.1091,2.8364,2.4000,3.6909,55
273,Seedot,seedot,1.3571,1.6429,1.4464,2.5714,1.6786,3.9286,2.2857,2.8214,3.3929,56
274,Nuzleaf,nuzleaf,2.2222,1.7222,1.5185,3.2963,4.5000,2.6852,3.1111,2.5370,3.2593,54
275,Shiftry,shiftry,3.1818,2.2909,2.1636,4.3455,3.8545,1.4182,3.6727,2.0000,3.4182,55
276,Taillow,taillow,1.6364,3.1455,1.2727,1.4727,1.1273,3.8182,3.3091,3.4727,3.6364,55
277,Swellow,swellow,1.9818,4.0545,1.2000,1.6182,1.1273,2.6727,3.7091,3.6364,3.4000,55
278,Wingull,wingull,1.4000,1.8727,1.3091,1.4909,1.0909,3.9818,2.6727,3.3273,3.6727,55
279,Pelipper,pelipper,1.8519,2.3148,1.3519,1.9074,1.1667,2.9815,2.5556,2.5741,3.4074,54
280,Ralts,ralts,1.8364,1.9091,2.2182,3.8909,4.3636,4.4000,3.0545,3.7636,4.0182,55
281,Kirlia,kirlia,2.5455,2.3273,2.3818,3.8364,4.6909,4.0000,3.2000,4.0909,3.7273,55
282,Mega Gardevoir,gardevoir-mega,3.2407,2.4074,2.2407,4.3704,4.8704,3.7593,3.7037,4.4259,3.9259,54
282,standard Gardevoir,gardevoir,2.7091,2.5273,2.2909,4.2182,4.6545,3.5818,3.7636,4.4727,4.0182,55
283,Surskit,surskit,1.2963,1.8148,1.6296,2.4630,1.2593,4.3704,2.6852,3.4444,3.6111,54
284,Masquerain,masquerain,2.3818,2.1455,1.7455,3.1636,1.1455,3.6000,3.0000,3.7455,3.4545,55
285,Shroomish,shroomish,1.3889,1.5000,1.4630,3.0926,1.4074,3.8889,2.4444,2.3704,3.8889,54
286,Breloom,breloom,2.9455,2.0182,1.6364,3.8182,3.1091,3.9636,3.9455,3.2909,4.3091,55
287,Slakoth,slakoth,1.6667,2.8333,1.1852,1.4074,2.0741,3.4259,2.2037,2.4074,3.2778,54
288,Vigoroth,vigoroth,2.2909,2.8182,1.3636,1.7455,2.8545,2.1091,3.1455,2.2182,3.2545,55
289,Slaking,slaking,2.6364,2.8182,1.3818,1.9818,3.7091,1.6727,2.8909,1.8182,3.1455,55
290,Nincada,nincada,2.2545,3.6909,1.4182,1.8364,1.1455,3.0909,2.9455,2.6000,3.5091,55
291,Ninjask,ninjask,3.2037,3.5556,1.9444,2.6296,1.2222,2.7593,4.1296,3.1667,3.8704,54
292,Shedinja,shedinja,2.8000,2.8364,2.3636,4.0364,1.2545,2.8000,3.8000,2.9091,4.0727,55
293,Whismur,whismur,1.4545,1.3091,2.3455,3.1455,1.9818,3.7636,2.0364,2.5091,3.3636,55
294,Loudred,loudred,2.7091,1.4545,2.6545,3.9273,3.0000,1.9818,2.7273,1.6545,3.0364,55
295,Exploud,exploud,3.6000,2.0000,2.8727,4.1091,2.8000,1.3455,3.3636,1.5818,3.3091,55
296,Makuhita,makuhita,1.6909,1.5636,2.5273,2.9273,4.1818,3.7273,3.0545,2.5636,3.6000,55
297,Hariyama,hariyama,3.1818,1.8727,2.3273,3.0000,4.6182,1.6000,3.0909,1.9636,3.0364,55
298,Azurill,azurill,1.5273,1.5091,2.0000,2.7818,1.2727,4.3273,2.1636,3.3091,3.4545,55
299,Nosepass,nosepass,2.3455,2.6182,4.1636,3.5636,2.9818,2.5273,2.6545,2.1636,3.4000,55
300,Skitty,skitty,1.7455,1.8727,1.6364,2.1273,1.2364,4.3455,2.5273,3.7636,3.6364,55
301,Delcatty,delcatty,1.7963,2.4630,1.6852,1.8519,1.1481,4.0185,2.3704,3.9444,3.4815,54
302,Mega Sableye,sableye-mega,3.2000,1.8364,3.2545,4.4909,3.6000,3.2182,4.0909,3.0364,4.0727,55
302,standard Sableye,sableye,2.3818,2.0727,3.0909,4.4545,3.7818,3.0364,4.0182,2.7818,4.2000,55
303,Mega Mawile,mawile-mega,4.0727,2.3636,2.6182,4.4364,4.1091,3.2545,4.2727,3.4545,3.8727,55
303,standard Mawile,mawile,3.1273,2.2182,2.3455,4.2000,4.0000,3.6364,3.7455,3.3273,3.7273,55
304,Aron,aron,2.0909,1.7818,3.5273,3.4727,1.2000,4.2182,3.6182,3.0909,3.9273,55
305,Lairon,lairon,3.6364,2.9455,3.0727,3.7273,1.1273,2.6727,4.1091,2.7091,3.7636,55
306,Mega Aggron,aggron-mega,4.5091,2.8545,3.8545,4.2182,2.3636,1.4182,4.3818,2.4545,3.7636,55
306,standard Aggron,aggron,4.0364,3.1273,3.3455,4.0364,2.1455,1.6545,4.4909,2.5636,4.1091,55
307,Meditite,meditite,2.2909,1.8909,2.3091,3.2364,4.5455,2.9455,2.6727,2.3818,2.8000,55
308,Mega Medicham,medicham-mega,4.0364,2.0000,2.4182,4.3091,4.8182,2.0545,3.6364,2.9455,3.2909,55
308,standard Medicham,medicham,2.4909,1.8545,2.3455,3.4909,4.5455,2.0182,2.6545,2.1636,2.8909,55
309,Electrike,electrike,2.1818,2.1091,1.7818,3.0727,1.1636,2.9818,3.3636,2.5818,3.1455,55
310,Mega Manectric,manectric-mega,3.5091,1.9636,2.4909,4.3818,1.1273,2.2727,3.6909,2.5455,3.0182,55
310,standard Manectric,manectric,2.7455,2.6000,2.3273,3.2545,1.2727,2.4364,3.2909,2.5818,2.9818,55
311,Plusle,plusle,1.6000,1.4000,1.8909,2.7636,2.0727,4.2364,2.5818,3.4364,3.2727,55
312,Minun,minun,1.6481,1.5556,2.1111,2.8519,2.2407,4.3333,2.6667,3.4444,3.3704,54
313,Volbeat,volbeat,2.5273,1.8364,1.6545,2.6364,3.1273,2.4545,2.0727,2.2364,2.2364,55
314,Illumise,illumise,2.5636,1.6909,1.7636,2.9273,3.3273,2.9091,1.8545,2.6909,2.4364,55
315,Roselia,roselia,2.3455,2.2909,1.5818,3.5273,4.0727,3.9273,3.0545,4.0909,3.5455,55
316,Gulpin,gulpin,1.2182,1.2364,2.2182,3.2545,1.4182,3.2727,2.2000,2.1091,3.2000,55
317,Swalot,swalot,1.5636,1.3636,2.8364,3.6909,1.5818,2.5455,2.0909,2.0364,2.9091,55
318,Carvanha,carvanha,2.8000,2.7455,1.5636,2.4727,1.1091,2.0364,3.7818,2.0727,3.5091,55
319,Mega Sharpedo,sharpedo-mega,4.3091,2.2000,2.4909,3.8182,1.0909,1.2545,3.6727,1.9273,2.7818,55
319,standard Sharpedo,sharpedo,2.5636,2.7636,2.0909,2.8182,1.1818,1.6545,4.3091,2.6364,3.8727,55
320,Wailmer,wailmer,1.3091,1.7818,1.2364,1.9455,1.0727,3.5273,2.5273,2.6545,3.4727,55
321,Wailord,wailord,1.6667,2.4444,1.3889,1.9630,1.1481,3.3519,3.4815,2.9815,3.8148,54
322,Numel,numel,1.6000,1.7455,1.3091,2.1273,1.0545,3.7091,2.2909,2.7818,3.6727,55
323,Mega Camerupt,camerupt-mega,3.5273,1.9091,2.4000,4.3091,1.1818,2.2909,3.6000,2.5273,3.4182,55
323,standard Camerupt,camerupt,2.5455,2.2909,2.0727,3.1636,1.1273,2.5091,3.2364,2.4364,3.3818,55
324,Torkoal,torkoal,3.0370,2.8519,1.9815,3.1852,1.1481,3.0185,3.4444,2.5741,3.6296,54
325,Spoink,spoink,1.6545,1.5455,2.2182,3.6182,1.3455,4.1818,2.6545,3.2000,3.5091,55
326,Grumpig,grumpig,2.4182,1.7091,1.9273,3.3273,3.1636,2.5636,2.5091,2.2909,2.8182,55
327,Spinda,spinda,1.7636,1.4727,1.6364,2.5273,2.4364,4.0909,2.4000,2.9636,3.5636,55
328,Trapinch,trapinch,1.7091,1.8545,1.6364,2.6727,1.2364,4.2545,3.2000,2.8909,4.0727,55
329,Vibrava,vibrava,2.8545,3.2909,1.3455,2.5273,1.1091,3.6000,3.7273,3.3273,3.9636,55
330,Flygon,flygon,3.3636,2.4545,1.8000,4.3091,1.3818,3.8545,4.5818,3.9091,4.5273,55
331,Cacnea,cacnea,2.2545,1.8909,1.5091,2.9818,2.6364,4.0727,3.3636,2.8545,3.9636,55
332,Cacturne,cacturne,2.5273,2.2364,1.9273,3.7273,4.1091,1.8909,3.6364,2.2909,3.4909,55
333,Swablu,swablu,1.4074,1.7222,1.7407,3.4630,1.1481,4.6667,2.6111,4.1667,4.0000,54
334,Mega Altaria,altaria-mega,3.3818,2.0182,1.7818,4.3818,1.2000,4.1636,3.6182,4.3091,3.9273,55
334,standard Altaria,altaria,2.0727,2.0364,1.8727,3.9818,1.1455,4.2182,3.4182,4.3818,4.0545,55
335,Zangoose,zangoose,2.5273,2.8909,1.5455,2.4727,3.1091,2.3818,4.0545,2.8182,3.6909,55
336,Seviper,seviper,3.1296,2.6481,1.4815,2.5000,1.1111,2.1296,4.0000,3.0556,3.5556,54
337,Lunatone,lunatone,1.8889,2.0926,4.1111,4.0926,1.2593,2.2407,2.9074,2.5926,3.1111,54
338,Solrock,solrock,3.2182,2.8909,4.1455,4.1273,1.1455,1.8000,2.8909,2.4545,3.2182,55
339,Barboach,barboach,1.5636,2.5455,1.2000,1.5091,1.1273,3.0545,2.0182,2.3273,3.1091,55
340,Whiscash,whiscash,2.0909,1.9818,1.3273,2.3091,1.1455,3.0727,2.6545,2.4727,3.6182,55
341,Corphish,corphish,1.9636,2.5091,1.3455,1.6545,1.2364,3.6000,3.1273,2.8545,3.7273,55
342,Crawdaunt,crawdaunt,3.8000,3.3455,1.6545,2.7636,1.3636,1.7091,3.8727,2.2545,3.5273,55
343,Baltoy,baltoy,1.9818,3.0727,4.5455,3.5818,2.6000,2.9636,2.8909,2.7091,3.6000,55
344,Claydol,claydol,3.6481,2.4630,4.3889,4.2963,2.3148,1.8333,3.1667,2.4630,3.5556,54
345,Lileep,lileep,3.1455,2.6727,1.7455,3.1273,1.2727,3.0727,3.0909,2.9818,3.6182,55
346,Cradily,cradily,2.7818,2.1818,1.7091,3.1636,1.1636,2.3455,3.2727,2.3091,3.4727,55
347,Anorith,anorith,3.2182,3.3818,1.6182,2.3091,1.2909,3.7091,3.2364,2.5455,3.8545,55
348,Armaldo,armaldo,4.0909,2.8000,1.9636,3.4909,2.4000,2.2545,3.7091,2.5636,3.7455,55
349,Feebas,feebas,2.1273,3.0364,1.3455,1.5636,1.1455,1.9091,2.0364,1.3091,3.4909,55
350,Milotic,milotic,3.0182,3.0909,1.4727,3.9455,1.4727,3.8000,4.1091,4.6182,4.1091,55
351,Rainy Castform,castform-rainy,1.7273,1.4182,3.6182,3.6182,1.4545,3.9455,2.4182,3.1455,3.1091,55
351,Snowy Castform,castform-snowy,2.2000,1.4545,3.1636,4.1636,1.2545,4.0909,2.5818,3.3455,3.2727,55
351,Sunny Castform,castform-sunny,1.9273,1.2727,3.4000,4.0000,1.5455,3.7818,2.6000,2.9455,3.0909,55
351,standard Castform,castform,1.1455,1.1091,3.7091,3.3273,1.8909,3.6727,1.9818,2.7091,2.7818,55
